label	f1	precision	recall
Alarm_bell_ringing	0.785	0.822	0.752
Blender	0.586	0.592	0.580
Cat	0.646	0.697	0.602
Dog	0.638	0.643	0.634
Dishes	0.493	0.500	0.486
Electric_shaver_toothbrush	0.684	0.667	0.703
Frying	0.559	0.514	0.613
Running_water	0.600	0.697	0.527
Speech	0.912	0.954	0.873
Vacuum_cleaner	0.598	0.627	0.571
macro	0.650	0.671	0.634
micro	0.736	0.765	0.709
